Wavelength,Power (mW),Current (uA),EQE - Uncorrected
300,0.153,-0.009493121,-0.0
303,0.158,-0.009356705,-0.0
306,0.16,-0.0094112442,-0.0
309,0.163,-0.0091117804,-0.0
312,0.167,-0.0095485596,-0.0
315,0.169,-0.011848878,-0.0
318,0.173,-0.01468287,-0.0
321,0.174,-0.022387586,-0.0
324,0.178,-0.036546236,-0.1
327,0.179,-0.065001994,-0.1
330,0.182,-0.11115188,-0.2
333,0.184,-0.17440946,-0.4
336,0.187,-0.2608274,-0.5
339,0.189,-0.37202188,-0.7
342,0.191,-0.5050157,-1.0
345,0.194,-0.65407184,-1.2
348,0.197,-0.83393326,-1.5
351,0.199,-1.0373202,-1.8
354,0.202,-1.2883072,-2.2
357,0.205,-1.5464716,-2.6
360,0.206,-1.8428298,-3.1
363,0.209,-2.2205676,-3.6
366,0.21,-2.6539646,-4.3
369,0.216,-3.1366898,-4.9
372,0.22,-3.715889,-5.6
375,0.222,-4.469194,-6.7
378,0.226,-5.3795738,-7.8
381,0.227,-6.3345988,-9.1
384,0.231,-7.2690194,-10.2
387,0.234,-8.1763952,-11.2
390,0.236,-9.193716,-12.4
393,0.239,-10.128996,-13.4
396,0.24,-10.9531,-14.3
399,0.242,-11.571726,-14.9
402,0.242,-12.127998,-15.5
405,0.243,-12.85651,-16.2
408,0.244,-13.645362,-17.0
411,0.244,-14.54512,-18.0
414,0.245,-15.467278,-18.9
417,0.247,-16.49624,-19.9
420,0.249,-17.47524,-20.7
423,0.249,-18.405522,-21.7
426,0.249,-19.483676,-22.8
429,0.249,-20.660592,-24.0
432,0.251,-21.872348,-25.0
435,0.252,-23.361482,-26.4
438,0.254,-24.608548,-27.4
441,0.254,-25.375132,-28.1
444,0.254,-26.542498,-29.2
447,0.258,-28.755388,-30.9
450,0.26,-30.08778,-31.9
453,0.26,-30.129538,-31.7
456,0.261,-31.062094,-32.4
459,0.264,-33.393028,-34.2
462,0.269,-36.4635,-36.4
465,0.275,-39.841424,-38.6
468,0.278,-40.534846,-38.6
471,0.273,-37.417012,-36.1
474,0.264,-33.673748,-33.4
477,0.262,-32.486844,-32.2
480,0.26,-32.942912,-32.7
483,0.258,-31.380042,-31.2
486,0.255,-30.101618,-30.1
489,0.254,-30.594958,-30.5
492,0.253,-30.040424,-29.9
495,0.25,-28.182892,-28.2
498,0.248,-27.3002,-27.4
501,0.247,-27.214082,-27.3
504,0.247,-27.048942,-26.9
507,0.246,-26.926532,-26.8
510,0.246,-26.944596,-26.6
513,0.246,-26.96799,-26.5
516,0.247,-26.926582,-26.2
519,0.247,-26.95264,-26.1
522,0.246,-27.028342,-26.1
525,0.247,-27.080326,-25.9
528,0.248,-27.211598,-25.8
531,0.248,-27.336924,-25.7
534,0.248,-27.557262,-25.8
537,0.249,-27.842406,-25.8
540,0.249,-28.199014,-26.0
543,0.247,-28.601964,-26.4
546,0.247,-28.823514,-26.5
549,0.249,-29.105288,-26.4
552,0.249,-29.209534,-26.4
555,0.25,-29.36435,-26.2
558,0.25,-29.440458,-26.2
561,0.251,-29.488974,-26.0
564,0.252,-29.634752,-25.9
567,0.253,-29.810192,-25.8
570,0.254,-29.826112,-25.5
573,0.252,-29.869316,-25.7
576,0.253,-29.901154,-25.4
579,0.253,-29.899686,-25.3
582,0.254,-29.917062,-25.1
583,0.267,-30.31091,-24.1
586,0.27,-30.175302,-23.6
589,0.27,-29.79141,-23.2
592,0.27,-29.267454,-22.7
595,0.268,-28.806486,-22.4
598,0.268,-28.34494,-21.9
601,0.267,-27.902036,-21.6
604,0.267,-27.52912,-21.2
