[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	R	RM	RG
-5.00047	-4.904925e-007	10194794.008063	10.194794008063	0.010194794008063
-4.750233	-4.590171e-007	10348705.963242	10.348705963242	0.010348705963242
-4.500039	-4.273115e-007	10531050.533393	10.531050533393	0.010531050533393
-4.249821	-4.008655e-007	10601613.25931	10.60161325931	0.01060161325931
-3.999527	-3.713561e-007	10770058.71184	10.77005871184	0.01077005871184
-3.749702	-3.448089e-007	10874725.101353	10.874725101353	0.010874725101353
-3.499918	-3.073475e-007	11387494.611149	11.387494611149	0.011387494611149
-3.249893	-2.785812e-007	11665873.36116	11.66587336116	0.01166587336116
-3.000056	-2.468516e-007	12153277.515722	12.153277515722	0.012153277515722
-2.750289	-2.296075e-007	11978219.352591	11.978219352591	0.011978219352591
-2.500213	-2.004809e-007	12471078.292246	12.471078292246	0.012471078292246
-2.249971	-1.748308e-007	12869420.033541	12.869420033541	0.012869420033541
-1.999686	-1.43169e-007	13967311.359303	13.967311359303	0.013967311359303
-1.749517	-1.1569e-007	15122456.564958	15.122456564958	0.015122456564958
-1.499277	-9.403653e-008	15943559.380594	15.943559380594	0.015943559380594
-1.249039	-7.169076e-008	17422593.929817	17.422593929817	0.017422593929817
-0.999218	-5.070229e-008	19707551.670743	19.707551670743	0.019707551670743
-0.749423	-2.991593e-008	25050967.828846	25.050967828846	0.025050967828846
-0.499696	-1.426096e-008	35039436.335282	35.039436335282	0.035039436335282
-0.249919	-4.187498e-009	59682177.758652	59.682177758652	0.059682177758652
-8.883624e-005	1.085697e-009	-81824.155358263	-0.081824155358263	-8.1824155358263e-005
0.250614	1.366822e-008	18335525.767071	18.335525767071	0.018335525767071
0.500368	3.47124e-008	14414676.023554	14.414676023554	0.014414676023554
0.750053	5.917412e-008	12675355.374951	12.675355374951	0.012675355374951
0.999791	8.51675e-008	11739114.098688	11.739114098688	0.011739114098688
1.249589	1.12776e-007	11080274.17181	11.08027417181	0.01108027417181
1.500111	1.39273e-007	10771010.892276	10.771010892276	0.010771010892276
1.750331	1.682224e-007	10404862.848229	10.404862848229	0.010404862848229
2.000475	1.946197e-007	10278892.630088	10.278892630088	0.010278892630088
2.250737	2.244384e-007	10028306.20785	10.02830620785	0.01002830620785
2.500904	2.519377e-007	9926676.3172006	9.9266763172006	0.0099266763172006
2.750936	2.848958e-007	9655937.363766	9.655937363766	0.009655937363766
3.000684	3.152253e-007	9519172.4775898	9.5191724775898	0.0095191724775898
3.250801	3.418141e-007	9510435.6432341	9.5104356432341	0.0095104356432341
3.500489	3.672559e-007	9531471.107748	9.531471107748	0.009531471107748
3.750229	3.957351e-007	9476614.5333078	9.4766145333078	0.0094766145333078
4.000001	4.257711e-007	9394721.7178432	9.3947217178432	0.0093947217178432
4.250282	4.561648e-007	9317426.509016	9.317426509016	0.009317426509016
4.50047	4.843787e-007	9291221.9302789	9.2912219302789	0.0092912219302789
4.750615	5.12599e-007	9267702.4340664	9.2677024340664	0.0092677024340664
5.000807	5.434841e-007	9201386.0203086	9.2013860203086	0.0092013860203086

